ProjectID,ProjectName,Stage,Substage,StartDate,PlannedEndDate,ActualEndDate,ProgressPercentage,BudgetAllocated,BudgetUtilized,TeamAssigned,RiskLevel,IssuesReported
1037,Mall Development,Construction,Final Assembly,2023-04-08,2023-07-06,2023-06-30,41.96,174906,73389.33,Team Beta,Medium,8
1052,Office Tower,Engineering,Site Survey,2023-04-24,2023-07-18,2023-07-17,89.04,496017,441638.86,Team Gamma,Low,6
1025,Bridge Development,Construction,Foundation Laying,2023-05-25,2023-07-01,2023-07-01,70.61,354007,249973.69,Team Omega,Medium,7
1049,Bridge Development,Procurement,Material Sourcing,2023-10-23,2023-12-01,2023-11-23,88.92,449110,399357.07,Team Beta,Medium,4
1085,Office Tower,Procurement,Vendor Selection,2023-03-28,2023-05-14,2023-05-05,99.21,346679,343930.43,Team Beta,Medium,4
1013,Bridge Development,Procurement,Vendor Selection,2023-10-07,2023-11-10,2023-11-04,97.09,199639,193834,Team Delta,High,0
1048,Office Tower,Construction,Site Preparation,2023-10-17,2023-12-20,2023-12-11,43.02,336638,144821.88,Team Omega,Medium,5
1052,Bridge Development,Procurement,Logistics Planning,2023-08-10,2023-10-22,,71.59,208131,149000.85,Team Beta,High,8
1028,Residential Complex,Procurement,Logistics Planning,2023-01-14,2023-03-06,2023-02-27,57.53,349247,200933.29,Team Omega,High,0
1085,Office Tower,Engineering,Structural Design,2023-12-07,2024-01-25,,84.04,238532,200463.26,Team Beta,High,10
1056,Office Tower,Construction,Foundation Laying,2023-02-01,2023-03-03,2023-03-05,40.95,317658,130081.85,Team Gamma,High,2
1002,Residential Complex,Engineering,Design Approval,2023-03-25,2023-06-22,2023-06-19,81.88,224572,183887.8,Team Gamma,High,5
1047,Bridge Development,Engineering,Design Approval,2023-05-11,2023-07-03,2023-07-10,96.9,399871,387475.54,Team Alpha,Low,3
1021,Office Tower,Procurement,Material Sourcing,2023-01-17,2023-03-06,2023-03-07,75.49,150721,113782.01,Team Gamma,High,9
1079,Bridge Development,Procurement,Material Sourcing,2023-07-04,2023-08-24,2023-08-15,94.56,300319,283995.78,Team Omega,High,0
1025,Mall Development,Engineering,Structural Design,2023-01-09,2023-03-27,2023-03-28,87.6,431724,378202.13,Team Delta,Low,2
1064,Residential Complex,Construction,Site Preparation,2023-07-04,2023-09-05,,68.33,286658,195874.78,Team Omega,High,0
1082,Mall Development,Construction,Final Assembly,2023-10-27,2023-12-29,2024-01-04,70.59,322484,227631.47,Team Delta,High,3
1055,Mall Development,Procurement,Vendor Selection,2023-08-18,2023-09-25,,54.25,220753,119752.74,Team Alpha,Low,4
1055,Bridge Development,Engineering,Site Survey,2023-06-15,2023-09-06,2023-09-02,87.48,375001,328052.26,Team Beta,Medium,6
1051,Office Tower,Procurement,Material Sourcing,2023-12-15,2024-02-13,2024-02-12,66.17,287699,190372.23,Team Delta,High,6
1026,Bridge Development,Procurement,Logistics Planning,2023-03-16,2023-05-19,,52.59,471889,248181.68,Team Alpha,Low,5
1020,Bridge Development,Procurement,Logistics Planning,2023-03-08,2023-05-25,2023-05-31,70.42,470698,331466.31,Team Alpha,Low,5
1065,Bridge Development,Construction,Site Preparation,2023-11-25,2024-01-04,2023-12-26,79.76,289592,230964.63,Team Omega,High,0
1038,Office Tower,Construction,Foundation Laying,2023-12-03,2024-01-16,2024-01-19,12.59,263892,33216.8,Team Beta,Medium,8
1066,Residential Complex,Procurement,Vendor Selection,2023-03-23,2023-06-21,,68.2,224958,153426.34,Team Beta,High,3
1100,Residential Complex,Engineering,Site Survey,2023-05-25,2023-07-06,2023-07-12,84.91,450838,382827.07,Team Beta,Low,4
1042,Office Tower,Procurement,Vendor Selection,2023-12-15,2024-03-04,2024-03-05,77.46,412953,319878.13,Team Delta,Medium,9
1072,Mall Development,Engineering,Site Survey,2023-03-14,2023-06-10,,80.68,397717,320892.31,Team Alpha,Medium,10
1045,Bridge Development,Construction,Site Preparation,2023-09-07,2023-11-08,2023-11-08,75,349960,262452.61,Team Beta,Medium,10
1070,Mall Development,Engineering,Structural Design,2023-08-21,2023-11-16,2023-11-18,99.75,322964,322144.02,Team Alpha,High,10
1046,Bridge Development,Construction,Foundation Laying,2023-03-30,2023-06-03,2023-06-11,24.65,122932,30299.99,Team Alpha,Low,1
1089,Residential Complex,Procurement,Vendor Selection,2023-04-29,2023-07-20,2023-07-11,51.94,225031,116881.25,Team Beta,Medium,5
1003,Mall Development,Construction,Site Preparation,2023-06-04,2023-08-11,,72.75,113161,82323.12,Team Gamma,Low,5
1089,Mall Development,Engineering,Design Approval,2023-12-11,2024-02-10,2024-02-13,86.26,482477,416196.47,Team Gamma,Medium,3
1055,Office Tower,Engineering,Site Survey,2023-08-01,2023-09-09,,83.6,182760,152789.32,Team Delta,Low,3
1081,Residential Complex,Procurement,Logistics Planning,2023-07-07,2023-09-24,2023-10-03,93.75,130029,121905.47,Team Beta,High,8
1095,Bridge Development,Procurement,Logistics Planning,2023-06-23,2023-07-30,,92.38,224313,207221.17,Team Alpha,High,3
1069,Bridge Development,Construction,Final Assembly,2023-01-24,2023-04-24,2023-05-02,10.46,206595,21609.46,Team Omega,Medium,3
1088,Bridge Development,Engineering,Design Approval,2023-09-09,2023-11-25,2023-12-01,88.15,402896,355167.66,Team Delta,Low,6
1100,Residential Complex,Construction,Site Preparation,2023-04-19,2023-05-19,,36.48,245354,89496.41,Team Alpha,High,5
1043,Mall Development,Engineering,Structural Design,2023-11-10,2024-01-21,2024-01-12,80.77,456499,368711.66,Team Beta,Medium,6
1051,Office Tower,Construction,Final Assembly,2023-03-09,2023-04-27,,30.3,246013,74544.57,Team Delta,Low,0
1066,Mall Development,Engineering,Design Approval,2023-11-15,2023-12-29,2024-01-04,99.8,457694,456788.13,Team Beta,High,3
1090,Mall Development,Construction,Site Preparation,2023-04-18,2023-07-07,,29.19,369112,107736.46,Team Gamma,Low,10
1089,Office Tower,Engineering,Site Survey,2023-08-11,2023-10-19,2023-10-09,86.5,103082,89167.73,Team Beta,High,7
1087,Bridge Development,Construction,Final Assembly,2023-10-27,2023-12-14,2023-12-06,43.22,129062,55778.74,Team Delta,Medium,7
1027,Bridge Development,Construction,Foundation Laying,2023-09-02,2023-10-15,2023-10-06,54.17,172518,93454.64,Team Beta,Low,1
1043,Bridge Development,Procurement,Vendor Selection,2023-10-18,2023-12-18,2023-12-13,61.18,405090,247851.5,Team Delta,Low,3
1040,Mall Development,Procurement,Vendor Selection,2023-10-14,2023-12-28,2023-12-30,96.16,358027,344291.56,Team Gamma,High,0
1004,Office Tower,Construction,Site Preparation,2023-10-05,2023-11-06,2023-11-09,30.84,112059,34561.36,Team Alpha,Low,0
1076,Office Tower,Procurement,Material Sourcing,2023-01-09,2023-02-14,,76,198297,150696.39,Team Gamma,Low,5
1060,Mall Development,Procurement,Vendor Selection,2023-04-28,2023-07-10,,71.52,381240,272658.41,Team Alpha,High,8
1031,Office Tower,Construction,Final Assembly,2023-07-18,2023-09-08,,36.97,432517,159880.99,Team Delta,High,9
1088,Residential Complex,Engineering,Site Survey,2023-10-11,2023-12-21,,80.83,437080,353307.3,Team Gamma,High,6
1083,Office Tower,Engineering,Site Survey,2023-01-17,2023-02-21,2023-02-15,97.76,121012,118296.87,Team Beta,Low,6
1015,Office Tower,Engineering,Design Approval,2023-05-23,2023-08-10,2023-08-12,86.15,118499,102091.86,Team Alpha,Medium,0
1010,Mall Development,Construction,Site Preparation,2023-10-21,2023-11-21,2023-11-17,53.37,269021,143584.86,Team Omega,Medium,6
1019,Bridge Development,Engineering,Site Survey,2023-07-22,2023-09-05,2023-09-07,89.28,225803,201592.59,Team Omega,Low,5
1015,Office Tower,Engineering,Design Approval,2023-04-05,2023-06-11,2023-06-07,94.08,167490,157577.63,Team Omega,High,6
1014,Residential Complex,Construction,Foundation Laying,2023-06-29,2023-09-12,2023-09-04,31.96,478267,152875.51,Team Omega,High,5
1087,Office Tower,Engineering,Structural Design,2023-09-11,2023-11-09,2023-11-09,83.56,378415,316197.48,Team Delta,Medium,4
1037,Office Tower,Engineering,Structural Design,2023-11-02,2023-12-11,2023-12-15,96.66,473764,457928.95,Team Beta,Medium,10
1061,Mall Development,Construction,Site Preparation,2023-02-08,2023-05-08,2023-05-04,40.85,209539,85595.26,Team Delta,High,5
1087,Office Tower,Procurement,Material Sourcing,2023-01-10,2023-04-10,,97.11,252030,244758.29,Team Omega,High,1
1036,Mall Development,Engineering,Site Survey,2023-05-16,2023-07-20,2023-07-12,92.98,159404,148216.79,Team Delta,Low,1
1010,Bridge Development,Construction,Site Preparation,2023-11-21,2024-01-11,2024-01-14,32.38,253381,82040.44,Team Alpha,Low,10
1057,Office Tower,Procurement,Logistics Planning,2023-05-29,2023-07-21,,99.98,393613,393535.09,Team Omega,Low,10
1009,Residential Complex,Construction,Site Preparation,2023-05-20,2023-07-31,2023-07-31,42.26,215878,91221.52,Team Beta,Medium,4
1050,Residential Complex,Procurement,Vendor Selection,2023-08-23,2023-11-08,2023-10-30,98.41,250369,246396.93,Team Gamma,Low,5
1027,Office Tower,Engineering,Structural Design,2023-08-09,2023-09-20,,88.85,485281,431179.82,Team Alpha,High,3
1081,Bridge Development,Construction,Foundation Laying,2023-10-26,2024-01-08,2024-01-09,47.09,266079,125305.8,Team Alpha,High,5
1017,Mall Development,Engineering,Site Survey,2023-02-20,2023-04-17,2023-04-20,93.11,482658,449409.25,Team Omega,Medium,5
1033,Residential Complex,Engineering,Design Approval,2023-04-18,2023-06-06,2023-06-07,97.76,419770,410363.54,Team Alpha,Low,8
1074,Office Tower,Construction,Final Assembly,2023-09-19,2023-10-19,2023-10-09,34.46,417749,143947.23,Team Omega,High,9
1084,Mall Development,Construction,Final Assembly,2023-02-03,2023-04-19,2023-04-29,31.78,214815,68268.8,Team Beta,High,5
1020,Office Tower,Construction,Foundation Laying,2023-12-03,2024-02-18,2024-02-19,30.9,398132,123034.69,Team Delta,Medium,9
1061,Mall Development,Procurement,Logistics Planning,2023-09-23,2023-12-19,2023-12-09,60.25,112350,67685.26,Team Alpha,Medium,2
1063,Mall Development,Procurement,Material Sourcing,2023-06-22,2023-09-15,,57.96,466440,270343.25,Team Beta,Low,0
1062,Bridge Development,Procurement,Material Sourcing,2023-12-19,2024-02-19,2024-02-14,97.92,474087,464222.72,Team Omega,Low,6
1000,Bridge Development,Construction,Final Assembly,2023-12-25,2024-02-16,2024-02-24,66.22,388293,257135.49,Team Gamma,Low,6
1096,Mall Development,Procurement,Logistics Planning,2023-12-02,2024-02-28,,58.41,435467,254363.94,Team Omega,Medium,5
1067,Mall Development,Construction,Foundation Laying,2023-12-23,2024-02-19,,15.88,140497,22315.8,Team Beta,High,4
1047,Bridge Development,Engineering,Design Approval,2023-09-06,2023-11-05,2023-11-12,81.5,314946,256691.48,Team Omega,Low,4
1039,Mall Development,Engineering,Site Survey,2023-09-27,2023-11-27,2023-11-20,82.67,142455,117773.42,Team Delta,Medium,7
1008,Residential Complex,Engineering,Design Approval,2023-06-10,2023-08-23,2023-08-27,89.73,325841,292389.62,Team Delta,Medium,1
1039,Office Tower,Engineering,Site Survey,2023-07-04,2023-08-21,,86.71,337359,292539.65,Team Beta,High,9
1053,Office Tower,Procurement,Logistics Planning,2023-03-08,2023-05-08,2023-05-13,68.72,214195,147196.01,Team Beta,Medium,8
1068,Mall Development,Construction,Site Preparation,2023-05-01,2023-06-04,2023-06-03,32.01,102021,32660.13,Team Omega,Low,2
1033,Residential Complex,Procurement,Vendor Selection,2023-01-31,2023-04-15,2023-04-06,79.48,258648,205560.79,Team Alpha,Low,9
1098,Residential Complex,Construction,Final Assembly,2023-05-25,2023-07-29,2023-08-07,16.51,292685,48313.13,Team Alpha,Low,6
1003,Residential Complex,Construction,Site Preparation,2023-06-25,2023-09-15,2023-09-05,75.38,495056,373167.2,Team Beta,Low,8
1096,Residential Complex,Procurement,Vendor Selection,2023-09-08,2023-10-20,,97.63,270532,264116.09,Team Gamma,Low,7
1034,Bridge Development,Engineering,Structural Design,2023-09-22,2023-11-17,,96.27,431472,415398.36,Team Gamma,High,3
1021,Bridge Development,Construction,Foundation Laying,2023-06-26,2023-09-12,2023-09-04,71.56,340071,243361.17,Team Gamma,Low,3
1029,Office Tower,Procurement,Vendor Selection,2023-07-28,2023-10-06,2023-10-08,51.14,164182,83964.92,Team Delta,Low,0
1060,Bridge Development,Construction,Final Assembly,2023-07-04,2023-08-26,,0.56,414014,2323.84,Team Alpha,High,8
1050,Bridge Development,Procurement,Logistics Planning,2023-02-15,2023-05-03,,71.22,304552,216903.71,Team Delta,Medium,2
1040,Office Tower,Engineering,Site Survey,2023-05-03,2023-07-18,,84.97,221813,188480.74,Team Gamma,Medium,5
1049,Mall Development,Engineering,Structural Design,2023-05-04,2023-06-09,2023-06-02,98.14,211957,208018.71,Team Alpha,High,6
